,CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location,lat,lng
0,ROBBERY,04/23/2020 01:27:00 AM,20-020530,ROBBERY-FIREARM,31Y,900 82ND AV,Oakland,CA,"900 82ND AV
Oakland, CA",37.7522776,-122.1851369
1,DOMESTIC VIOLENCE,04/03/2020 05:51:00 PM,20-017584,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,9200 MACARTHUR BLVD,Oakland,CA,"9200 MACARTHUR BLVD
Oakland, CA
(37.754275, -122.160817)",37.7545295,-122.1606751
2,,04/25/2020 10:30:00 PM,20-021213,EXHIBIT FIREARM,29X,5500 15TH ST,Oakland,CA,"5500 15TH ST
Oakland, CA",37.7682346,-122.2020832
3,OTHER,09/01/2019 12:00:00 AM,20-009365,STALKING-MISD,01X,00 EMBARCADERO WEST,Oakland,CA,"00 EMBARCADERO WEST
Oakland, CA",37.79481180000001,-122.2749578
4,,05/03/2020 01:40:00 AM,20-022472,THEFT,21X,2300 FOOTHILL BLVD,Oakland,CA,"2300 FOOTHILL BLVD
Oakland, CA
(37.785082, -122.233852)",37.7852402,-122.2337694
5,VANDALISM,02/04/2020 07:40:00 PM,20-905431,VANDALISM,77X,HOWE ST,Oakland,CA,"HOWE ST
Oakland, CA",37.8283263,-122.2515117
6,OTHER,04/22/2020 03:14:00 PM,20-020455,REFUSE/ETC TO COMPLY WITH QUARANTINE/DISINFECTION ORDER/ETC,13Z,2500 SCOUT RD,Oakland,CA,"2500 SCOUT RD
Oakland, CA
(37.821925, -122.202153)",37.8199276,-122.2001218
7,HOMICIDE,04/15/2020 07:07:00 PM,20-019412,SC UNEXPLAINED DEATH,26X,1200 47TH AV,Oakland,CA,"1200 47TH AV
Oakland, CA
(37.769777, -122.21213)",37.7693705,-122.2126902
8,,04/27/2020 11:19:00 AM,20-021226,THEFT,23X,3200 INTERNATIONAL BLVD,Oakland,CA,"3200 INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)",37.7777222,-122.2255912
9,ARSON,02/10/2020 11:00:00 PM,20-012566,SC RECKLESS BURNING,05X,800 16TH ST,Oakland,CA,"800 16TH ST
Oakland, CA
(37.80899, -122.278793)",37.8089447,-122.2786474
10,,04/29/2020 09:00:00 PM,20-021673,BATTERY,28X,5400 ROBERTS AV,Oakland,CA,"5400 ROBERTS AV
Oakland, CA
(37.777505, -122.191653)",37.777497,-122.1916046
11,,04/25/2020 12:35:00 PM,20-909698,THEFT,14X,400 LEE ST,Oakland,CA,"400 LEE ST
Oakland, CA
(37.810895, -122.256359)",37.8107361,-122.25616
12,VANDALISM,02/04/2020 09:24:00 PM,20-905430,VANDALISM,77X,21ST ST,Oakland,CA,"21ST ST
Oakland, CA",37.811713,-122.2755029
13,BURG - AUTO,04/15/2020 10:30:00 PM,20-908676,THEFT,35X,8200 NEY AV,Oakland,CA,"8200 NEY AV
Oakland, CA
(37.763381, -122.163549)",37.7633779,-122.1635886
14,BURG - RESIDENTIAL,04/03/2020 01:00:00 AM,20-908010,BURGLARY-FORCIBLE ENTRY,77X,48TH ST,Oakland,CA,"48TH ST
Oakland, CA",37.8353476,-122.2648118
15,BURG - AUTO,04/08/2020 08:40:00 PM,20-909322,BURGLARY-AUTO,08X,2200 TELEGRAPH AV,Oakland,CA,"2200 TELEGRAPH AV
Oakland, CA
(37.811582, -122.269056)",37.811502,-122.2687119
16,BURG - AUTO,02/14/2020 11:00:00 PM,20-905783,BURGLARY-AUTO,99X,2600 28TH,Oakland,CA,"2600 28TH
Oakland, CA",37.79395239999999,-122.2223537
17,MISDEMEANOR ASSAULT,02/14/2020 08:45:00 AM,20-011201,BATTERY,07X,2800 HELEN ST,Oakland,CA,"2800 HELEN ST
Oakland, CA
(37.822321, -122.285196)",37.8222751,-122.2852673
18,CURFEW & LOITERING,04/17/2020 03:18:00 PM,20-019905,TRESPASSING,27X,5100 FAIRFAX AV,Oakland,CA,"5100 FAIRFAX AV
Oakland, CA
(37.775336, -122.200795)",37.7751987,-122.2005046
19,DOMESTIC VIOLENCE,05/15/2020 12:00:00 AM,20-024166,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,7100 WELD ST,Oakland,CA,"7100 WELD ST
Oakland, CA
(37.763861, -122.183234)",37.7639532,-122.1829862
20,MISDEMEANOR ASSAULT,04/03/2020 01:08:00 AM,20-017479,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,24X,2000 HARRINGTON AV,Oakland,CA,"2000 HARRINGTON AV
Oakland, CA
(37.781425, -122.215733)",37.7812459,-122.2155958
21,DUI,04/11/2020 11:19:00 PM,20-018797,DUI ALCOHOL/DRUGS,20X,1600 25TH AV,Oakland,CA,"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)",37.78351139999999,-122.2317492
22,HOMICIDE,03/28/2020 07:04:00 PM,20-016616,ATTEMPTED MURDER-FIREARM,21Y,3300 NICOL AV,Oakland,CA,"3300 NICOL AV
Oakland, CA
(37.791078, -122.211009)",37.7910587,-122.2109819
23,,04/10/2020 08:00:00 PM,20-018728,VEHICLE THEFT - AUTO,25Y,4100 MAYNARD AV,Oakland,CA,"4100 MAYNARD AV
Oakland, CA
(37.772882, -122.156527)",37.7728715,-122.1565142
24,HOMICIDE,03/26/2020 10:04:00 AM,19-062954,BURGLARY-FORCIBLE ENTRY,26Y,900 69TH AV,Oakland,CA,"900 69TH AV
Oakland, CA
(37.756802, -122.196345)",37.7566464,-122.1961332
25,NARCOTICS,04/11/2020 07:47:00 PM,20-018775,PROBATION REVOKED/ETC,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)",37.8289694,-122.2681392
26,,04/11/2020 05:00:00 PM,20-018753,VEHICLE THEFT - AUTO,12X,4900 BROADWAY,Oakland,CA,"4900 BROADWAY
Oakland, CA
(37.833535, -122.252873)",37.8335019,-122.2526048
27,FELONY ASSAULT,04/22/2020 12:50:00 AM,20-020363,ASSAULT WITH FIREARM ON PERSON,04X,19TH ST & SAN PABLO AV,Oakland,CA,"19TH ST & SAN PABLO AV
Oakland, CA
(37.808797, -122.272637)",0.0,0.0
28,,05/14/2020 06:00:00 PM,20-024133,INDECENT EXPOSURE,27X,5100 TRASK ST,Oakland,CA,"5100 TRASK ST
Oakland, CA
(37.776722, -122.200524)",37.7766808,-122.2003021
29,MISDEMEANOR ASSAULT,04/11/2020 08:43:00 PM,20-018784,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2100 50TH AV,Oakland,CA,"2100 50TH AV
Oakland, CA
(37.774347, -122.205112)",37.7741585,-122.2052697
30,STOLEN VEHICLE,04/20/2020 01:35:00 AM,20-020612,VEHICLE THEFT - AUTO,19X,200 E 12TH ST,Oakland,CA,"200 E 12TH ST
Oakland, CA
(37.797265, -122.257298)",37.7972771,-122.2572746
31,GRAND THEFT,11/11/2019 09:05:00 AM,20-909426,GRAND THEFT,26X,4700 OAKPORT ST,Oakland,CA,"4700 OAKPORT ST
Oakland, CA
(37.763905, -122.217268)",37.7650329,-122.2183635
32,VANDALISM,04/27/2020 04:00:00 PM,20-909435,VANDALISM,23X,3400 E 12TH ST,Oakland,CA,"3400 E 12TH ST
Oakland, CA
(37.776022, -122.224006)",37.7761719,-122.2238345
33,MISDEMEANOR ASSAULT,03/11/2020 11:05:00 AM,20-013834,BATTERY,09X,200 W MACARTHUR BLVD,Oakland,CA,"200 W MACARTHUR BLVD
Oakland, CA
(37.822651, -122.255684)",37.8229491,-122.2557663
34,,03/30/2020 05:00:00 PM,20-017065,VEHICLE THEFT - AUTO,12Y,6100 CHABOT RD,Oakland,CA,"6100 CHABOT RD
Oakland, CA
(37.847681, -122.250578)",37.8474472,-122.2503826
35,STOLEN VEHICLE,04/19/2020 05:53:00 PM,20-019975,SC STOLEN VEHICLE - AUTO,16Y,1400 E 38TH ST,Oakland,CA,"1400 E 38TH ST
Oakland, CA
(37.803942, -122.227307)",37.8039754,-122.2270941
36,,09/29/2019 07:50:00 PM,20-023435,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,6800 HAWLEY ST,Oakland,CA,"6800 HAWLEY ST
Oakland, CA
(37.757289, -122.197485)",37.7574336,-122.1971017
37,VANDALISM,03/30/2020 06:30:00 PM,20-019385,"VANDALISM [$400 TO $5,000]",02X,900 7TH ST,Oakland,CA,"900 7TH ST
Oakland, CA
(37.803014, -122.28399)",37.8028264,-122.2827303
38,MISDEMEANOR ASSAULT,04/02/2020 11:31:00 PM,20-017474,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32Y,3000 98TH AV,Oakland,CA,"3000 98TH AV
Oakland, CA
(37.752575, -122.153287)",37.7531364,-122.1529491
39,OTHER,04/28/2020 03:45:00 PM,20-021582,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,13Y,00 VICENTE PL,Oakland,CA,"00 VICENTE PL
Oakland, CA",37.8576129,-122.2331279
40,BURG - AUTO,04/14/2020 03:05:00 AM,20-908557,BURGLARY-AUTO,77X,BROADWAY  TERRACE/SKYLINE BLVD,Oakland,CA,"BROADWAY TERRACE/SKYLINE BLVD
Oakland, CA",37.8509961,-122.2121579
41,ROBBERY,02/02/2020 11:30:00 AM,20-006602,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",01X,300 5TH ST,Oakland,CA,"300 5TH ST
Oakland, CA
(37.795773, -122.269052)",37.79673750000001,-122.271642
42,DOMESTIC VIOLENCE,04/29/2020 06:54:00 PM,20-021659,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32Y,9800 STEARNS AV,Oakland,CA,"9800 STEARNS AV
Oakland, CA
(37.751565, -122.154224)",37.7515557,-122.1542417
43,THREATS,04/21/2020 01:53:00 PM,20-020269,DISTURB THE PEACE BY LOUD/UNREASONABLE NOISE,30X,7600 LOCKWOOD ST,Oakland,CA,"7600 LOCKWOOD ST
Oakland, CA
(37.761468, -122.179687)",37.761682,-122.179378
44,,05/14/2020 05:58:00 PM,20-024114,ROBBERY-FIREARM,08X,2300 BLOCK WEBSTER ST,Oakland,CA,"2300 BLOCK WEBSTER ST
Oakland, CA
(37.812134, -122.265203)",37.81211710000001,-122.2650564
45,VANDALISM,04/25/2020 08:00:00 PM,20-909337,VANDALISM,15X,400 STOW AV,Oakland,CA,"400 STOW AV
Oakland, CA
(37.803655, -122.251159)",37.8036762,-122.2511514
46,DOMESTIC VIOLENCE,04/19/2020 11:55:00 AM,20-019925,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,9300 WALNUT ST,Oakland,CA,"9300 WALNUT ST
Oakland, CA
(37.748874, -122.170916)",37.7490818,-122.1707689
47,MISDEMEANOR ASSAULT,04/19/2020 01:30:00 PM,20-019962,BATTERY,26Y,1200 79TH AV,Oakland,CA,"1200 79TH AV
Oakland, CA
(37.755105, -122.185872)",37.7549737,-122.1857133
48,ROBBERY,03/14/2020 07:40:00 PM,20-014500,ROBBERY-FIREARM,17Y,2300 11TH AV,Oakland,CA,"2300 11TH AV
Oakland, CA
(37.797289, -122.240555)",37.7972892,-122.2403031
49,HOMICIDE,03/28/2020 07:04:00 PM,20-016616,ASSAULT WITH FIREARM ON PERSON,21Y,3300 NICOL AV,Oakland,CA,"3300 NICOL AV
Oakland, CA
(37.791078, -122.211009)",37.7910587,-122.2109819
50,DOMESTIC VIOLENCE,04/11/2020 09:00:00 PM,20-018788,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24X,3500 FOOTHILL BLVD,Oakland,CA,"3500 FOOTHILL BLVD
Oakland, CA
(37.782111, -122.219088)",37.782112,-122.2187431
51,,03/07/2020 04:00:00 PM,20-013227,VEHICLE THEFT - AUTO,19X,1800 14TH AV,Oakland,CA,"1800 14TH AV
Oakland, CA
(37.792485, -122.241802)",37.7919253,-122.2428254
52,,04/10/2020 12:30:00 PM,20-909427,BURGLARY-NO FORCE,29X,6500 FOOTHILL BLVD,Oakland,CA,"6500 FOOTHILL BLVD
Oakland, CA
(37.770574, -122.183123)",37.7708264,-122.1830084
53,FRAUD,03/08/2020 08:50:00 PM,20-013390,FRAUD:POSS/USE SCAN DEVICE,03X,300 9TH ST,Oakland,CA,"300 9TH ST
Oakland, CA
(37.799419, -122.269606)",37.7994965,-122.2697819
54,,05/14/2020 04:11:00 PM,20-024111,FORCIBLE ENTRY AND DETAINER,18Y,2200 19TH AV,Oakland,CA,"2200 19TH AV
Oakland, CA
(37.79243, -122.235281)",37.7922873,-122.2350991
55,DOMESTIC VIOLENCE,03/25/2020 08:00:00 PM,20-016322,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,05X,1800 LINDEN ST,Oakland,CA,"1800 LINDEN ST
Oakland, CA
(37.812119, -122.282866)",37.8120609,-122.2827122
56,WEAPONS,04/16/2020 01:22:00 PM,20-019507,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,26X,1200 47TH AV,Oakland,CA,"1200 47TH AV
Oakland, CA
(37.769777, -122.21213)",37.7693705,-122.2126902
57,FELONY ASSAULT,04/18/2020 06:00:00 PM,20-019847,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,29X,5800 FOOTHILL BLVD,Oakland,CA,"5800 FOOTHILL BLVD
Oakland, CA
(37.771865, -122.192053)",37.7719987,-122.1916683
58,NARCOTICS,04/11/2020 07:47:00 PM,20-018775,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)",37.8289694,-122.2681392
59,,04/11/2020 05:30:00 PM,20-018754,ATTEMPTED ROBBERY-STRONG-ARM,09X,4400 BROADWAY,Oakland,CA,"4400 BROADWAY
Oakland, CA
(37.832474, -122.253538)",37.8322848,-122.2531144
60,MISCELLANEOUS TRAFFIC CRIME,03/19/2020 05:45:00 PM,20-015286,VANDALISM-$400+,99X,1900 DAVIS ST (COSTCO),Oakland,CA,"1900 DAVIS ST (COSTCO)
Oakland, CA",37.72009329999999,-122.1820107
61,ROBBERY,02/03/2020 06:20:00 AM,20-006509,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1500 14TH AV,Oakland,CA,"1500 14TH AV
Oakland, CA
(37.790119, -122.245136)",37.7899933,-122.2450393
62,STOLEN VEHICLE,03/19/2020 06:51:00 PM,20-015298,VEHICLE THEFT - AUTO,13X,5300 BROADWAY,Oakland,CA,"5300 BROADWAY
Oakland, CA
(37.837429, -122.250473)",37.8373934,-122.2501594
63,DUI,04/11/2020 11:19:00 PM,20-018797,UNLICENSED DRIVER,20X,1600 25TH AV,Oakland,CA,"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)",37.78351139999999,-122.2317492
64,MISCELLANEOUS TRAFFIC CRIME,03/27/2020 11:03:00 PM,20-016494,DUI ALCOHOL/0.08 PERCENT,24X,3700 FOOTHILL BLVD,Oakland,CA,"3700 FOOTHILL BLVD
Oakland, CA
(37.779773, -122.217545)",37.7798501,-122.2173664
65,WEAPONS,04/02/2020 07:42:00 AM,20-017349,CARRY CONCEALED WEAPON IN VEHICLE,19X,1500 E 12TH ST,Oakland,CA,"1500 E 12TH ST
Oakland, CA
(37.787943, -122.245701)",37.7883038,-122.2456601
66,VANDALISM,03/27/2020 07:45:00 PM,20-907771,VANDALISM,13Z,2000 MOUNTAIN BLVD,Oakland,CA,"2000 MOUNTAIN BLVD
Oakland, CA
(37.827229, -122.209956)",37.8273236,-122.2097884
67,DOMESTIC VIOLENCE,04/01/2020 01:28:00 PM,20-017228,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,29X,3400 68TH AV,Oakland,CA,"3400 68TH AV
Oakland, CA
(37.772079, -122.175124)",37.771783,-122.1752062
68,WEAPONS,04/01/2020 04:43:00 PM,20-017263,CARRY A LOADED CONCEALED WEAPON ON PERSON,24X,35TH AV & DAVIS ST,Oakland,CA,"35TH AV & DAVIS ST
Oakland, CA
(37.785847, -122.214021)",37.7858621,-122.21402
69,,05/14/2020 04:00:00 PM,20-024205,TAMPER WITH VEHICLE,30X,7800 PLYMOUTH ST,Oakland,CA,"7800 PLYMOUTH ST
Oakland, CA
(37.760801, -122.178137)",37.7609181,-122.1779531
70,,05/07/2020 10:50:00 AM,20-022928,VANDALISM,33X,1100 82ND AVE,Oakland,CA,"1100 82ND AVE
Oakland, CA
(37.753192, -122.183641)",37.7530995,-122.1835405
71,DOMESTIC VIOLENCE,05/05/2020 01:00:00 AM,20-022500,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1200 65TH AV,Oakland,CA,"1200 65TH AV
Oakland, CA
(37.761859, -122.195915)",37.76086650000001,-122.197292
72,STOLEN VEHICLE,04/12/2020 10:00:00 PM,20-019363,VEHICLE THEFT - AUTO,03X,00 8TH ST,Oakland,CA,"00 8TH ST
Oakland, CA",37.7797737,-122.2956545
73,PETTY THEFT,05/04/2020 09:33:00 AM,20-022348,THEFT,35X,2300 98TH AV,Oakland,CA,"2300 98TH AV
Oakland, CA
(37.749001, -122.160595)",37.7488942,-122.1604796
74,RECOVERED O/S STOLEN,03/06/2020 03:22:00 PM,20-012951,VEHICLE THEFT - AUTO,34X,9600 SUNNYSIDE ST,Oakland,CA,"9600 SUNNYSIDE ST
Oakland, CA
(37.748639, -122.163481)",37.74908010000001,-122.1635054
75,GRAND THEFT,03/26/2020 01:20:00 PM,20-907737,GRAND THEFT,12Y,5300 MILES AV,Oakland,CA,"5300 MILES AV
Oakland, CA
(37.840268, -122.257482)",37.8402691,-122.2574606
76,,03/08/2020 12:01:00 AM,20-013698,VEHICLE THEFT - AUTO,35X,8200 MACARTHUR BLVD,Oakland,CA,"8200 MACARTHUR BLVD
Oakland, CA
(37.762689, -122.164885)",37.7628757,-122.1648141
77,WEAPONS,04/01/2020 04:43:00 PM,20-017263,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,24X,35TH AV & DAVIS ST,Oakland,CA,"35TH AV & DAVIS ST
Oakland, CA
(37.785847, -122.214021)",37.7858621,-122.21402
78,GRAND THEFT,03/23/2020 02:30:00 PM,20-907705,GRAND THEFT,03Y,700 BROADWAY,Oakland,CA,"700 BROADWAY
Oakland, CA
(37.799572, -122.274093)",37.7995738,-122.2739376
79,WEAPONS,04/02/2020 07:42:00 AM,20-017349,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,19X,1500 E 12TH ST,Oakland,CA,"1500 E 12TH ST
Oakland, CA
(37.787943, -122.245701)",37.7883038,-122.2456601
80,BURG - AUTO,03/28/2020 12:00:00 AM,20-907793,BURGLARY-AUTO,03Y,500 9TH ST,Oakland,CA,"500 9TH ST
Oakland, CA
(37.801392, -122.27468)",37.8013559,-122.2745758
81,BURG - AUTO,03/02/2020 03:02:00 PM,20-907762,BURGLARY-AUTO,26Y,7500 INTERNATIONAL BLVD,Oakland,CA,"7500 INTERNATIONAL BLVD
Oakland, CA
(37.758461, -122.185427)",37.758483,-122.1854663
82,FORGERY & COUNTERFEITING,03/26/2020 11:50:00 AM,20-907736,MAKE/PASS FICTITIOUS CHECK,03X,300 12TH ST,Oakland,CA,"300 12TH ST
Oakland, CA
(37.796574, -122.256491)",37.8017597,-122.268534
83,,05/10/2020 08:50:00 AM,20-023441,SC STOLEN VEHICLE - AUTO,33X,9200 C ST,Oakland,CA,"9200 C ST
Oakland, CA
(37.746021, -122.177523)",37.7464958,-122.1778972
84,VANDALISM,03/26/2020 10:22:00 PM,20-907768,VANDALISM,06X,2600 MARTIN LUTHER KING JR W,Oakland,CA,"2600 MARTIN LUTHER KING JR W
Oakland, CA",37.8164069,-122.2714955
85,STOLEN VEHICLE,04/01/2020 04:30:00 PM,20-019793,VEHICLE THEFT - AUTO,11X,700 56TH ST,Oakland,CA,"700 56TH ST
Oakland, CA
(37.840907, -122.267369)",37.8409145,-122.267392
86,,04/23/2020 07:00:00 PM,20-020655,ORAL  COP IN CONCERT:VICTIM INCAPABLE OF GIVING CONSENT,25Y,7700 MOUNTAIN BLVD,Oakland,CA,"7700 MOUNTAIN BLVD
Oakland, CA
(37.773551, -122.157669)",37.7741096,-122.1578406
87,BURG - AUTO,02/12/2020 02:20:00 PM,20-907629,BURGLARY-AUTO,02X,700 MANDELA PKWY,Oakland,CA,"700 MANDELA PKWY
Oakland, CA
(37.805495, -122.293358)",37.8055639,-122.2929898
88,MISDEMEANOR ASSAULT,04/02/2020 04:56:00 PM,20-017310,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,7900 CREST AV,Oakland,CA,"7900 CREST AV
Oakland, CA
(37.768629, -122.160335)",37.7689005,-122.1604353
89,STOLEN VEHICLE,03/31/2020 08:15:00 PM,20-017212,VEHICLE THEFT - AUTO,25X,3800 39TH AV,Oakland,CA,"3800 39TH AV
Oakland, CA
(37.791818, -122.19441)",37.791426,-122.193928
90,OTHER,04/02/2020 11:10:00 AM,20-017371,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,15X,200 E 18TH ST,Oakland,CA,"200 E 18TH ST
Oakland, CA
(37.800222, -122.253307)",37.8004308,-122.2534467
91,GRAND THEFT,04/01/2020 02:28:00 PM,20-017240,ATTEMPTED GRAND THEFT,08X,3900 TELEGRAPH AV,Oakland,CA,"3900 TELEGRAPH AV
Oakland, CA
(37.828395, -122.264657)",37.8282782,-122.2642693
92,GRAND THEFT,03/26/2020 09:50:00 PM,20-907743,THEFT,14X,200 MACARTHUR BLVD,Oakland,CA,"200 MACARTHUR BLVD
Oakland, CA
(37.817623, -122.253038)",37.8167849,-122.2525881
93,,04/23/2020 07:00:00 PM,20-020655,LEWD OR LASCIVIOUS ACTS W/CHILD OF 14/15 YEARS (AMENDED),25Y,7700 MOUNTAIN BLVD,Oakland,CA,"7700 MOUNTAIN BLVD
Oakland, CA
(37.773551, -122.157669)",37.7741096,-122.1578406
94,GRAND THEFT,04/24/2020 07:15:00 PM,20-909585,THEFT,15X,200 WAYNE AV,Oakland,CA,"200 WAYNE AV
Oakland, CA
(37.801154, -122.252512)",37.8012035,-122.252283
95,BURG - AUTO,01/30/2020 11:00:00 AM,20-906770,BURGLARY-AUTO,08X,3900 OPAL ST,Oakland,CA,"3900 OPAL ST
Oakland, CA
(37.827353, -122.259025)",37.8275396,-122.2587992
96,GRAND THEFT,04/25/2020 10:45:00 AM,20-909394,GRAND THEFT,04X,1800 JEFFERSON ST,Oakland,CA,"1800 JEFFERSON ST
Oakland, CA
(37.808197, -122.273246)",37.8082235,-122.2729606
97,MISDEMEANOR ASSAULT,04/01/2020 12:30:00 PM,20-017219,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,02Y,1000 WILLOW ST,Oakland,CA,"1000 WILLOW ST
Oakland, CA
(37.809708, -122.298858)",37.8097166,-122.2988666
98,BURG - AUTO,03/26/2020 03:00:00 PM,20-907796,BURGLARY-AUTO,12Y,6300 DANA ST,Oakland,CA,"6300 DANA ST
Oakland, CA
(37.849047, -122.258183)",37.8490627,-122.2581402
99,ARSON,03/23/2020 06:00:00 PM,20-015914,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,30X,7800 WELD ST,Oakland,CA,"7800 WELD ST
Oakland, CA
(37.760141, -122.179376)",37.7601296,-122.1791948
100,BURG - AUTO,03/26/2020 05:38:00 PM,20-907739,BURGLARY-AUTO,13X,6500 BROADWAY TER,Oakland,CA,"6500 BROADWAY TER
Oakland, CA
(37.842901, -122.227412)",37.8461591,-122.2303909
101,BURG - AUTO,03/27/2020 03:00:00 PM,20-907784,BURGLARY-AUTO,34X,1700 87TH AV,Oakland,CA,"1700 87TH AV
Oakland, CA
(37.75328, -122.172409)",37.7531361,-122.1722768
102,WEAPONS,04/01/2020 04:43:00 PM,20-017263,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,24X,35TH AV & DAVIS ST,Oakland,CA,"35TH AV & DAVIS ST
Oakland, CA
(37.785847, -122.214021)",37.7858621,-122.21402
103,NARCOTICS,04/11/2020 07:47:00 PM,20-018775,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)",37.8289694,-122.2681392
104,GRAND THEFT,03/22/2020 08:45:00 PM,20-907767,THEFT,14Y,400 CRESCENT ST,Oakland,CA,"400 CRESCENT ST
Oakland, CA
(37.813632, -122.250181)",37.8136359,-122.2500807
105,VANDALISM,03/27/2020 01:20:00 AM,20-907798,VANDALISM,77X,HAROLD ST,Oakland,CA,"HAROLD ST
Oakland, CA",37.79721019999999,-122.2141967
106,VANDALISM,03/28/2020 12:00:00 PM,20-907802,VANDALISM,14Y,100 SANTA ROSA AV,Oakland,CA,"100 SANTA ROSA AV
Oakland, CA
(37.820411, -122.251307)",37.8204053,-122.2513311
107,MISDEMEANOR ASSAULT,03/27/2020 08:20:00 PM,20-907772,BATTERY AGAINST POLICE OFFICER,07X,24TH ST & MARKET ST,Oakland,CA,"24TH ST & MARKET ST
Oakland, CA
(37.81593, -122.278116)",37.8159855,-122.2781182
108,PETTY THEFT,03/21/2020 08:00:00 AM,20-015734,THEFT,19X,1500 5TH AV,Oakland,CA,"1500 5TH AV
Oakland, CA
(37.80436, -122.296485)",37.7964226,-122.2528866
109,DOMESTIC VIOLENCE,03/28/2020 07:39:00 AM,20-016526,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,32Y,10000 MACARTHUR BLVD,Oakland,CA,"10000 MACARTHUR BLVD
Oakland, CA
(37.745864, -122.156078)",37.7459872,-122.1556894
110,RECOVERED O/S STOLEN,04/21/2020 09:59:00 PM,20-020335,VEHICLE THEFT - AUTO,30X,7800 WELD ST,Oakland,CA,"7800 WELD ST
Oakland, CA
(37.760141, -122.179376)",37.7601296,-122.1791948
111,STOLEN VEHICLE,04/23/2020 01:30:00 AM,20-020556,VEHICLE THEFT - AUTO,04X,1400 HARRISON ST,Oakland,CA,"1400 HARRISON ST
Oakland, CA
(37.80292, -122.267606)",37.8029381,-122.2675967
112,ROBBERY,04/01/2020 02:19:00 PM,20-017237,BATTERY,23X,1500 35TH AV,Oakland,CA,"1500 35TH AV
Oakland, CA
(37.777353, -122.222134)",37.7773691,-122.2218572
113,BURG - AUTO,04/08/2020 09:40:00 PM,20-909321,BURGLARY-AUTO,77X,1400 CASTRO ST,Oakland,CA,"1400 CASTRO ST
Oakland, CA
(37.806835, -122.277006)",37.8069973,-122.276665
114,,05/06/2020 08:30:00 PM,20-023122,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,31Z,9800 BERNHARDT DR,Oakland,CA,"9800 BERNHARDT DR
Oakland, CA
(37.731954, -122.186752)",37.7320006,-122.1865558
115,BURG - RESIDENTIAL,12/02/2019 04:00:00 PM,20-907704,BURGLARY-FORCIBLE ENTRY,01X,100 4TH ST,Oakland,CA,"100 4TH ST
Oakland, CA
(37.794197, -122.267262)",37.7942068,-122.2671859
116,,05/05/2020 02:22:00 AM,20-022495,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,2200 65TH AV,Oakland,CA,"2200 65TH AV
Oakland, CA
(37.765841, -122.190194)",37.7656149,-122.190075
117,VANDALISM,03/24/2020 01:00:00 PM,20-907794,VANDALISM,04X,300 21ST ST,Oakland,CA,"300 21ST ST
Oakland, CA
(37.809333, -122.263)",37.8096133,-122.2646727
118,STOLEN VEHICLE,03/31/2020 05:00:00 PM,20-017080,VEHICLE THEFT - AUTO,08X,300 34TH ST,Oakland,CA,"300 34TH ST
Oakland, CA
(37.82174, -122.260379)",37.8217325,-122.2603946
