CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
MISDEMEANOR ASSAULT,02/03/2020 10:25:00 AM,20-006550,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,23X,4000 ALAMEDA AV,Oakland,CA,"4000 ALAMEDA AV
Oakland, CA
(37.768208, -122.22405)"
GRAND THEFT,04/22/2020 05:00:00 PM,20-909028,THEFT,10Y,5800 MARTIN LUTHER KING JR W,Oakland,CA,"5800 MARTIN LUTHER KING JR W
Oakland, CA"
WEAPONS,05/05/2020 05:03:00 PM,20-022627,VIOLATION PAROLE:FELONY,25X,3600 39TH AV,Oakland,CA,"3600 39TH AV
Oakland, CA
(37.789634, -122.196842)"
STOLEN VEHICLE,05/01/2020 10:00:00 PM,20-022200,VEHICLE THEFT - AUTO,22X,3700 COOLIDGE AV,Oakland,CA,"3700 COOLIDGE AV
Oakland, CA
(37.799958, -122.207235)"
,05/05/2020 01:07:00 PM,20-022607,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,19X,100 E15TH ST,Oakland,CA,"100 E15TH ST
Oakland, CA
(37.799169, -122.256044)"
ROBBERY,03/28/2020 02:30:00 AM,20-016637,CARJACKING WITH FIREARM,26Y,66TH AV & INTERNATIONAL BLVD,Oakland,CA,"66TH AV & INTERNATIONAL BLVD
Oakland, CA
(37.76235, -122.193699)"
,05/06/2020 03:35:00 AM,20-022702,BURGLARY-FORCIBLE ENTRY,31Y,9100 SAN LEANDRO ST,Oakland,CA,"9100 SAN LEANDRO ST
Oakland, CA
(37.743869, -122.185326)"
BURG - COMMERCIAL,04/05/2020 02:55:00 AM,20-017816,VANDALISM,15X,300 E 17TH ST,Oakland,CA,"300 E 17TH ST
Oakland, CA
(37.798993, -122.252998)"
MISDEMEANOR ASSAULT,04/07/2020 09:30:00 PM,20-018208,BATTERY,27X,5200 FOOTHILL BLVD,Oakland,CA,"5200 FOOTHILL BLVD
Oakland, CA
(37.772636, -122.202965)"
THREATS,04/10/2020 08:50:00 AM,20-018557,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,4300 INTERNATIONAL BLVD,Oakland,CA,"4300 INTERNATIONAL BLVD
Oakland, CA
(37.772377, -122.214811)"
STOLEN VEHICLE,04/05/2020 10:35:00 AM,20-017839,VEHICLE THEFT - AUTO,21Y,3200 FRUITVALE AV,Oakland,CA,"3200 FRUITVALE AV
Oakland, CA
(37.797136, -122.217418)"
MISDEMEANOR ASSAULT,02/28/2020 07:00:00 PM,20-011580,BATTERY,34X,1700 84TH AV,Oakland,CA,"1700 84TH AV
Oakland, CA
(37.755997, -122.174492)"
,05/05/2020 06:59:00 PM,20-022567,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,22X,3200 DELAWARE ST,Oakland,CA,"3200 DELAWARE ST
Oakland, CA
(37.794183, -122.204536)"
DISORDERLY CONDUCT,03/18/2020 08:25:00 PM,20-015150,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,26Y,6500 EASTLAWN ST,Oakland,CA,"6500 EASTLAWN ST
Oakland, CA
(37.76037, -122.196555)"
